tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,support_calls,churn
6,18.0,0.0,Month-to-month,Credit card,DSL,2,0
56,35.55,1835.86,Month-to-month,Mailed check,DSL,1,0
47,24.73,1300.97,Two year,Credit card,No,1,0
32,18.0,656.09,Month-to-month,Credit card,DSL,2,0
31,40.12,1325.55,Month-to-month,Electronic check,Fiber optic,1,1
62,103.12,6444.24,One year,Bank transfer,No,2,0
6,68.89,421.65,Two year,Bank transfer,DSL,2,0
50,102.26,5238.56,One year,Electronic check,Fiber optic,1,0
14,80.27,1292.16,One year,Mailed check,No,1,1
6,89.56,701.4,Month-to-month,Mailed check,Fiber optic,1,1
38,47.48,1786.01,Two year,Electronic check,DSL,1,0
71,83.1,6149.67,Month-to-month,Bank transfer,Fiber optic,1,0
53,88.22,4716.67,Month-to-month,Mailed check,Fiber optic,1,0
55,55.58,3170.94,Two year,Credit card,Fiber optic,1,0
52,83.99,4418.18,Month-to-month,Credit card,DSL,2,0
57,84.15,4841.28,Month-to-month,Bank transfer,DSL,2,0
37,56.26,1949.23,One year,Electronic check,Fiber optic,1,0
9,41.93,503.62,Month-to-month,Electronic check,DSL,1,0
61,40.4,2976.36,Month-to-month,Electronic check,DSL,3,0
32,72.16,2241.74,One year,Mailed check,Fiber optic,1,0
36,78.18,2827.09,One year,Credit card,No,1,0
27,50.19,1274.73,One year,Electronic check,DSL,0,0
13,70.66,830.8,Month-to-month,Bank transfer,DSL,0,0
67,84.26,5923.65,Month-to-month,Electronic check,Fiber optic,1,0
57,85.45,4749.79,Two year,Mailed check,Fiber optic,2,0
47,108.8,5028.12,Month-to-month,Bank transfer,Fiber optic,0,0
29,101.92,2670.06,Month-to-month,Credit card,No,0,1
60,44.97,2561.69,Month-to-month,Credit card,DSL,0,0
39,112.09,4063.98,Month-to-month,Bank transfer,DSL,2,0
32,56.73,1928.94,Month-to-month,Electronic check,DSL,0,0
32,96.12,3579.84,One year,Mailed check,DSL,1,0
16,71.7,1081.19,Two year,Credit card,Fiber optic,2,0
6,59.7,58.16,Month-to-month,Electronic check,Fiber optic,3,0
40,24.81,1154.3,One year,Bank transfer,DSL,2,0
64,65.71,4074.65,Month-to-month,Bank transfer,Fiber optic,3,0
4,31.02,357.94,Month-to-month,Credit card,DSL,1,0
62,94.18,5788.55,One year,Electronic check,Fiber optic,0,0
60,107.92,6361.46,Month-to-month,Electronic check,Fiber optic,1,0
20,50.08,969.51,Two year,Electronic check,Fiber optic,1,0
46,77.55,3703.67,Month-to-month,Mailed check,DSL,2,1
12,51.87,581.45,Month-to-month,Bank transfer,No,1,0
55,54.29,2896.42,Month-to-month,Electronic check,No,2,0
51,89.36,4521.69,Month-to-month,Bank transfer,Fiber optic,1,0
25,69.04,1496.98,Two year,Electronic check,No,0,0
4,113.49,525.43,One year,Bank transfer,DSL,1,1
70,57.94,3734.48,Month-to-month,Mailed check,Fiber optic,0,0
32,94.98,2959.53,Month-to-month,Credit card,DSL,3,1
65,72.44,4844.99,One year,Mailed check,No,1,0
49,89.89,4459.38,One year,Credit card,DSL,0,0
56,58.82,3400.24,Month-to-month,Electronic check,DSL,3,0
55,68.76,3770.15,Month-to-month,Electronic check,Fiber optic,2,0
14,67.11,1150.13,Month-to-month,Electronic check,DSL,1,0
26,49.1,1443.01,Month-to-month,Mailed check,Fiber optic,0,0
34,86.55,3023.07,Month-to-month,Credit card,DSL,2,0
36,86.26,3272.18,Month-to-month,Electronic check,Fiber optic,2,1
3,84.84,389.59,Month-to-month,Credit card,No,2,0
39,108.42,4149.44,Month-to-month,Bank transfer,Fiber optic,1,1
11,106.23,926.67,Month-to-month,Mailed check,DSL,2,1
54,60.63,3349.49,Two year,Mailed check,DSL,1,0
49,79.33,3985.29,One year,Credit card,DSL,2,0
67,54.41,3841.75,Month-to-month,Bank transfer,DSL,2,0
54,70.58,3642.99,Month-to-month,Electronic check,Fiber optic,0,0
26,55.01,1267.01,Month-to-month,Credit card,DSL,0,0
70,110.5,7817.91,Two year,Mailed check,DSL,1,0
29,79.09,2280.87,One year,Electronic check,DSL,0,0
23,64.55,1145.2,Month-to-month,Credit card,No,1,0
66,99.84,6656.99,Two year,Credit card,DSL,1,0
27,18.0,152.56,Two year,Mailed check,DSL,1,1
5,19.65,0.0,Two year,Bank transfer,Fiber optic,1,0
34,89.9,3299.77,Month-to-month,Electronic check,DSL,2,1
58,71.51,4476.16,Month-to-month,Credit card,No,2,0
13,76.26,772.58,One year,Mailed check,DSL,1,0
33,36.84,1156.43,Month-to-month,Mailed check,Fiber optic,3,0
9,69.42,632.44,One year,Bank transfer,Fiber optic,1,0
50,120.09,6325.01,One year,Mailed check,Fiber optic,1,0
34,90.6,2991.85,Month-to-month,Bank transfer,Fiber optic,0,1
24,74.24,1695.98,Month-to-month,Bank transfer,Fiber optic,2,1
16,59.02,1223.15,Month-to-month,Mailed check,Fiber optic,3,0
41,60.14,2398.1,Month-to-month,Credit card,Fiber optic,0,0
48,18.0,994.0,One year,Mailed check,Fiber optic,0,0
68,76.44,4932.1,One year,Credit card,Fiber optic,1,0
31,91.14,2794.43,Month-to-month,Mailed check,Fiber optic,3,0
